grp,sp,Aud,Reach1+,Reach3+,Reach5+,Reach7+,Reach9+,Reach12+,Reach15+,year,new_reg,after_1m,after_2m,after_3m,after_4m,after_5m,after_6m,Month_01월,Month_02월,Month_03월,Month_04월,Month_05월,Month_06월,Month_07월,Month_08월,Month_09월,Month_10월,Month_11월,Month_12월,ad_id_남20대,ad_id_남30대,ad_id_남40대,ad_id_남50대,ad_id_남60대,ad_id_여20대,ad_id_여30대,ad_id_여40대,ad_id_여50대,ad_id_여60대,log_0,log_1,log_2,log_3,log_4,log_5,log_6,ZSCORE
0,16,11582,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0986122886681098,1.6094379124341005,1.6094379124341005,-0.9469675566124528
0,16,14094,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.6931471805599453,-0.9469675566124528
1,16,20882,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.6094379124341005,1.0986122886681098,0.0,-0.9351835540363224
1,16,27818,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,-0.9351835540363224
55,1110,926751,15.7,5.8,3.3,1.3,1.3,0.9,0.9,2020.0,3.0,4.0,1.0,1.0,2.0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.3862943611198906,1.6094379124341005,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.0,-0.2988474149252801
76,1110,1412253,22.3,6.4,4.2,3.1,2.7,1.5,1.5,2020.0,16.0,11.0,11.0,7.0,12.0,8.0,32.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.8332133440562166,2.4849066497880004,2.4849066497880004,2.079441541679836,2.5649493574615367,2.19722457733622,3.49650756146648,-0.05138336082654149
112,1110,2346122,36.1,12.5,5.3,3.6,3.0,1.9,0.9,2020.0,21.0,30.0,32.0,14.0,26.0,28.0,48.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0910424533583165,3.4339872044851463,3.49650756146648,2.7080502011022096,3.2958368660043287,3.3672958299864737,3.8918202981106265,0.3728407319141533
153,1110,3122130,35.0,12.9,7.4,6.8,5.0,3.8,2.8,2020.0,17.0,27.0,35.0,10.0,28.0,30.0,40.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.8903717578961645,3.332204510175204,3.58351893845611,2.3978952727983707,3.3672958299864737,3.4339872044851463,3.7135720667043084,0.8559848375355001
107,1110,2811357,24.3,10.7,6.8,4.5,2.9,2.0,1.8,2020.0,6.0,8.0,11.0,5.0,30.0,14.0,38.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9459101490553128,2.19722457733622,2.4849066497880004,1.791759469228055,3.4339872044851463,2.7080502011022096,3.6635616461296463,0.3139207190335013
62,1110,1080828,12.7,4.4,2.0,2.0,1.8,1.7,1.5,2020.0,5.0,4.0,4.0,4.0,12.0,4.0,14.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.791759469228055,1.6094379124341005,1.6094379124341005,1.6094379124341005,2.5649493574615367,1.6094379124341005,2.7080502011022096,-0.21635939689236725
81,1110,1557225,17.5,8.7,5.3,4.6,2.0,1.3,1.2,2020.0,20.0,26.0,32.0,10.0,28.0,34.0,40.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0445224377234235,3.2958368660043287,3.49650756146648,2.3978952727983707,3.3672958299864737,3.555348061489413,3.7135720667043084,0.007536652054110573
125,1110,2647167,34.9,13.5,8.0,4.7,2.7,1.9,1.4,2020.0,39.0,34.0,46.0,10.0,18.0,49.0,55.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.688879454113936,3.555348061489413,3.8501476017100575,2.3978952727983707,2.9444389791664403,3.912023005428147,4.02535169073515,0.5260327654038487
182,1110,3696743,33.8,18.6,14.1,10.0,6.5,3.3,2.7,2020.0,34.0,46.0,62.0,21.0,64.0,62.0,84.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.555348061489413,3.8501476017100575,4.143134726391533,3.0910424533583165,4.174387269895637,4.143134726391533,4.442651256490317,1.197720912243282
186,1110,4048249,28.9,15.7,12.2,9.8,8.2,5.5,3.9,2020.0,25.0,26.0,36.0,21.0,44.0,40.0,68.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3.258096538021482,3.2958368660043287,3.610917912644224,3.0910424533583165,3.80666248977032,3.7135720667043084,4.23410650459726,1.2448569225478037
0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,-0.9469675566124528
0,8,10106,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,-0.9469675566124528
1,8,18640,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,-0.9351835540363224
0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,-0.9469675566124528
0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.6094379124341005,-0.9469675566124528
0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,-0.9469675566124528
1,8,29862,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.6094379124341005,1.0986122886681098,-0.9351835540363224
1,8,34211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9351835540363224
100,1578,1666082,15.0,7.6,5.0,4.4,3.8,3.2,1.6,2020.0,4.0,3.0,4.0,1.0,1.0,2.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.6094379124341005,1.3862943611198906,1.6094379124341005,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.2314327010005884
129,1578,2385665,25.0,8.6,5.1,2.6,2.6,2.3,1.9,2020.0,13.0,16.0,11.0,11.0,7.0,12.0,8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.6390573296152584,2.8332133440562166,2.4849066497880004,2.4849066497880004,2.079441541679836,2.5649493574615367,2.19722457733622,0.5731687757083703
171,1578,3594073,38.1,13.8,8.9,6.4,4.6,2.9,2.0,2020.0,23.0,21.0,30.0,32.0,14.0,26.0,28.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1780538303479458,3.0910424533583165,3.4339872044851463,3.49650756146648,2.7080502011022096,3.2958368660043287,3.3672958299864737,1.0680968839058476
248,1578,5052944,38.4,18.2,12.7,8.1,7.0,5.7,4.9,2020.0,22.0,17.0,27.0,35.0,10.0,28.0,30.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1354942159291497,2.8903717578961645,3.332204510175204,3.58351893845611,2.3978952727983707,3.3672958299864737,3.4339872044851463,1.9754650822678888
137,1578,3586449,26.3,11.9,8.1,5.8,3.9,2.4,1.9,2020.0,14.0,6.0,8.0,11.0,5.0,30.0,14.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.7080502011022096,1.9459101490553128,2.19722457733622,2.4849066497880004,1.791759469228055,3.4339872044851463,2.7080502011022096,0.6674407963174136
54,1578,944546,5.8,3.6,2.5,1.9,1.9,1.1,1.1,2020.0,4.0,5.0,4.0,4.0,4.0,12.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.6094379124341005,1.791759469228055,1.6094379124341005,1.6094379124341005,1.6094379124341005,2.5649493574615367,1.6094379124341005,-0.3106314175014105
97,1578,1866354,19.0,6.1,5.6,3.7,2.8,2.8,2.7,2020.0,19.0,20.0,26.0,32.0,10.0,28.0,34.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.9957322735539913,3.0445224377234235,3.2958368660043287,3.49650756146648,2.3978952727983707,3.3672958299864737,3.555348061489413,0.19608069327219715
193,1578,4051539,30.5,15.2,10.6,7.5,6.2,3.6,3.0,2020.0,28.0,39.0,34.0,46.0,10.0,18.0,49.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.3672958299864737,3.688879454113936,3.555348061489413,3.8501476017100575,2.3978952727983707,2.9444389791664403,3.912023005428147,1.3273449405807165
281,1578,5681704,38.1,20.6,15.3,11.8,9.8,8.1,6.5,2020.0,20.0,34.0,46.0,62.0,21.0,64.0,62.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0445224377234235,3.555348061489413,3.8501476017100575,4.143134726391533,3.0910424533583165,4.174387269895637,4.143134726391533,2.3643371672801927
303,1578,6589887,34.6,15.8,12.5,10.4,9.6,7.6,6.7,2020.0,15.0,25.0,26.0,36.0,21.0,44.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.772588722239781,3.258096538021482,3.2958368660043287,3.610917912644224,3.0910424533583165,3.80666248977032,3.7135720667043084,2.623585223955062
0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9469675566124528
2,8,53350,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.923399551460192
1,8,33510,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9351835540363224
